Symbol,MarketCap
ALAR,12199051.0
ALBT,3707637.0
ALCO,304383552.0
ALCY,
ALCYU,
ALDF,321979328.0
ALDFU,
ALDX,93505952.0
ALEC,263510320.0
ALFUU,
ALGN,11338671104.0
ALGS,46646848.0
ALGT,2250444032.0
ALHC,2819043840.0
ALIS,86129056.0
ALISU,
ALKS,8255629824.0
ALKT,2152742144.0
ALLO,749715264.0
ALLR,21161264.0
ALLT,372549408.0
ALM,5460940288.0
ALMS,3101268224.0
ALNT,1582375296.0
ALNY,32124893184.0
ALOT,227316416.0
ALOY,838889664.0
ALRM,2786361344.0
ALRS,823550080.0
ALT,622456640.0
ALTI,626892544.0
ALTO,309498176.0
ALTS,
ALVO,1801926016.0
ALXO,276553984.0
ALZN,7721157.0
AMAL,1447765120.0
AMAT,380958507008.0
AMBA,3104989952.0
AMBR,101817272.0
AMCI,113711480.0
AMCX,530062144.0
AMGN,239089090560.0
AMIX,6981799.0
AMKR,12099636224.0
AMLX,4173907200.0
AMOD,18824240.0
AMPG,108758872.0
AMPH,934984000.0
AMPL,1738638336.0
AMRN,298888096.0
AMRX,6241464832.0
AMSC,1436309504.0
AMSF,485274016.0
AMST,7335833.0
AMTX,137843920.0
AMWD,
AMZN,2815874826240.0
ANAB,1728246912.0
ANDE,2239669504.0
ANGH,30276458.0
ANGO,659251584.0
ANIK,286395456.0
ANIP,1737707136.0
ANIX,124524416.0
ANL,884827648.0
ANNA,110538000.0
ANNX,976332544.0
ANPA,62672284.0
ANSC,476131328.0
ANSCU,
ANTA,96657736.0
ANTX,213587088.0
ANY,21849088.0
AOUT,133886192.0
APA,14487034880.0
APAC,82436272.0
APACU,
APAD,
APADU,
APC,1555623040.0
APEI,845897408.0
APGE,10206491648.0
API,348345088.0
APLD,8202164736.0
APLM,76745408.0
APLS,
APM,570062.0
APOG,861025792.0
